time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T04:18:46.986Z,38.1845,38.5342,16.416,5,mb,145,36,0.776,0.58,us,us6000jlnf,2023-04-15T21:39:34.040Z,"17 km NNW of Sincik, Turkey",earthquake,5.5,3.967,0.053,112,reviewed,us,us
2023-02-06T02:23:14.336Z,37.1816,36.9658,11.359,5.3,mb,195,36,0.195,0.55,us,us6000jlmn,2023-04-15T21:39:34.040Z,"20 km E of Nurda??, Turkey",earthquake,4.96,3.519,0.046,159,reviewed,us,us
2023-02-06T02:06:23.457Z,37.9227,38.0613,10,5,mb,90,64,0.771,0.97,us,us6000jmn0,2023-04-15T21:39:49.040Z,"19 km NE of Tut, Turkey",earthquake,4.75,1.816,0.068,68,reviewed,us,us
2023-02-06T02:03:37.341Z,37.7712,37.9141,16.929,5.3,mb,154,35,0.792,0.61,us,us6000jlmh,2023-04-15T21:39:33.040Z,"Central Turkey",earthquake,4.28,3.347,0.052,122,reviewed,us,us
2023-02-06T01:58:23.118Z,37.0302,36.6208,10,5.1,mb,120,69,0.492,0.67,us,us6000jlmf,2023-04-15T21:39:33.040Z,"12 km SSE of Hasanbeyli, Turkey",earthquake,5.06,1.841,0.06,91,reviewed,us,us
2023-02-06T01:36:27.357Z,36.9921,36.6832,10,5.6,mb,167,47,0.458,0.59,us,us6000jlm9,2023-04-15T21:39:33.040Z,"Turkey-Syria border region",earthquake,6.2,1.76,0.052,128,reviewed,us,us
2023-02-06T01:28:15.784Z,37.1893,36.8929,9.797,6.7,mww,194,19,0.254,0.68,us,us6000jlm1,2023-09-22T20:09:20.631Z,"14 km E of Nurda??, Turkey",earthquake,7.68,3.333,0.098,10,reviewed,us,us
2023-02-06T01:26:50.869Z,37.2252,37.0001,10,5.7,mb,94,75,0.175,1.32,us,us6000jlnn,2024-10-09T17:16:06.477Z,"24 km ENE of Nurda??, Turkey",earthquake,2.35,1.789,0.072,69,reviewed,us,us
2023-02-06T01:17:34.342Z,37.2256,37.0143,10,7.8,mww,266,17,0.165,0.66,us,us6000jllz,2024-10-02T07:31:26.861Z,"Pazarcik earthquake, Kahramanmaras earthquake sequence",earthquake,5.23,1.784,0.05,38,reviewed,us,us
2023-01-28T18:16:56.220Z,38.4811,44.9282,10,5.1,mb,100,65,1.479,0.69,us,us6000jmwl,2023-04-11T18:51:51.040Z,"7 km SSW of Khowy, Iran",earthquake,5.27,1.826,0.067,73,reviewed,us,us
